preco,tipo,area,quartos,bairro
750,2,29,1,1
750,2,29,1,1
700,2,29,1,1
650,2,29,1,1
650,2,29,1,2
600,1,29,1,8
450,4,29,1,10
3000,3,30,1,3
3000,3,30,1,3
2700,1,30,1,1
2700,1,30,1,17
2700,3,30,1,1
2690,3,30,1,1
2600,3,30,1,1
2500,1,30,1,1
2400,1,30,1,1
2400,1,30,1,1
2400,1,30,1,1
2400,2,30,1,1
2300,1,30,1,3
2300,3,30,1,1
2300,3,30,1,1
2200,1,30,1,1
2129,1,30,1,1
2000,2,30,1,13
1900,1,30,1,17
1900,3,30,1,1
1850,2,30,1,16
1801,1,30,1,17
1800,1,30,1,17
1800,1,30,1,17
1800,2,30,1,13
1800,3,30,1,1
1800,3,30,1,3
1750,1,30,1,1
1700,1,30,1,1
1700,1,30,1,6
1700,4,30,1,28
1650,1,30,1,1
1650,2,30,1,2
1650,2,30,1,4
1600,1,30,1,4
1600,1,30,1,4
1600,1,30,1,2
1600,1,30,1,6
1600,1,30,1,6
1600,1,30,1,2
1600,1,30,1,6
1600,1,30,1,6
1600,1,30,1,2
1600,1,30,1,6
1600,2,30,1,2
1600,2,30,1,6
1600,2,30,1,6
1600,3,30,1,2
1550,2,30,1,1
1500,1,30,1,1
1500,2,30,1,2
1500,2,30,1,2
1500,3,30,1,1
1500,3,30,1,1
1450,2,30,1,7
1400,2,30,1,6
1380,1,30,1,4
1350,1,30,1,2
1350,1,30,1,1
1350,2,30,1,1
1300,1,30,1,4
1300,1,30,1,3
1300,1,30,1,1
1300,2,30,1,2
1300,2,30,1,1
1300,2,30,1,2
1300,3,30,1,1
1280,1,30,1,1
1250,1,30,1,1
1250,1,30,1,4
1250,2,30,1,1
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,2
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,1
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,1
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,6
1200,1,30,1,1
1200,1,30,1,1
1200,1,30,1,1
1200,2,30,1,4
1200,2,30,1,2
1200,2,30,1,17
1200,2,30,1,6
1200,2,30,1,2
1200,2,30,1,1
1200,2,30,1,16
1200,2,30,1,1
1200,2,30,1,2
1200,3,30,1,1
1150,1,30,1,2
1150,1,30,1,15
1150,1,30,1,15
1150,1,30,1,15
1150,2,30,1,2
1150,2,30,1,1
1120,2,30,1,2
1100,1,30,1,6
1100,1,30,1,8
1100,1,30,1,2
1100,1,30,1,1
1100,1,30,1,6
1100,1,30,1,6
1100,1,30,1,2
1100,1,30,1,1
1100,2,30,1,3
1100,2,30,1,1
1100,2,30,1,1
1100,2,30,1,2
1100,2,30,1,2
1100,2,30,1,2
1100,2,30,1,2
1100,2,30,1,2
1100,2,30,1,6
1100,2,30,1,2
1100,2,30,1,1
1100,2,30,1,16
1100,2,30,1,1
1100,2,30,1,1
1100,2,30,1,1
1100,2,30,1,3
1090,1,30,1,4
1090,2,30,1,1
1050,1,30,1,15
1000,1,30,1,2
1000,1,30,1,4
1000,1,30,1,1
1000,1,30,1,1
1000,1,30,1,1
1000,1,30,1,4
1000,1,30,1,4
1000,1,30,1,1
1000,1,30,1,1
1000,2,30,1,3
1000,2,30,1,1
1000,2,30,1,1
1000,2,30,1,2
1000,2,30,1,1
1000,2,30,1,2
1000,2,30,1,1
1000,2,30,1,1
1000,2,30,1,2
1000,2,30,1,4
1000,2,30,1,1
1000,2,30,1,1
1000,2,30,1,2
1000,2,30,1,2
990,1,30,1,1
990,2,30,1,2
980,2,30,1,1
980,2,30,1,2
980,2,30,1,1
955,2,30,1,4
950,1,30,1,1
950,1,30,1,14
950,2,30,1,16
950,2,30,1,1
950,2,30,1,1
950,2,30,1,2
950,2,30,1,4
950,2,30,1,1
950,2,30,1,2
950,2,30,1,6
950,2,30,1,3
900,1,30,1,8
900,1,30,1,4
900,1,30,1,3
900,1,30,1,2
900,2,30,1,1
900,2,30,1,6
900,2,30,1,1
900,2,30,1,2
900,2,30,1,2
900,2,30,1,1
900,2,30,1,6
900,2,30,1,2
900,2,30,1,2
900,2,30,1,2
900,2,30,1,2
900,4,30,1,8
890,2,30,1,2
850,1,30,1,1
850,1,30,1,1
850,1,30,1,1
850,1,30,1,14
850,1,30,1,8
850,1,30,1,1
850,1,30,1,14
850,1,30,1,1
850,1,30,1,8
850,2,30,1,2
850,2,30,1,1
850,2,30,1,1
850,2,30,1,1
850,2,30,1,1
850,2,30,1,1
850,2,30,1,6
800,1,30,1,8
800,1,30,1,8
800,1,30,1,8
800,1,30,1,8
800,1,30,1,8
800,1,30,1,8
800,1,30,1,8
800,1,30,1,1
800,2,30,1,1
800,2,30,1,1
800,2,30,1,2
800,2,30,1,2
800,2,30,1,6
800,2,30,1,6
800,2,30,1,2
800,2,30,1,1
800,2,30,1,1
780,1,30,1,20
780,2,30,1,1
750,1,30,1,9
750,1,30,1,8
750,1,30,1,8
750,1,30,1,9
750,1,30,1,2
750,2,30,1,18
750,2,30,1,6
750,2,30,1,2
750,2,30,1,3
750,2,30,1,2
750,2,30,1,2
700,1,30,1,5
700,1,30,1,4
700,1,30,1,5
700,1,30,1,5
700,1,30,1,10
700,1,30,1,1
700,2,30,1,1
700,2,30,1,1
700,2,30,1,1
700,2,30,1,6
700,2,30,1,1
700,2,30,1,6
680,1,30,1,5
670,1,30,1,10
650,1,30,1,10
650,2,30,1,1
650,2,30,1,4
650,2,30,1,4
600,1,30,1,5
600,1,30,1,5
600,1,30,1,1
600,2,30,1,1
600,2,30,1,8
600,2,30,1,1
600,2,30,1,8
600,2,30,1,1
580,2,30,1,19
580,2,30,1,11
500,2,30,1,9
500,2,30,1,11
480,4,30,1,5
450,1,30,1,5
450,2,30,1,18
450,4,30,1,10
400,0,30,1,11
400,1,30,1,10
400,2,30,1,11
400,2,30,1,11
400,4,30,1,9
100,3,30,1,1
2800,3,31,1,1
2700,3,31,1,1
2300,1,31,1,2
2300,1,31,1,13
1400,1,31,1,1
1350,1,31,1,4
1200,1,31,1,4
1200,1,31,1,4
1100,1,31,1,4
1050,1,31,1,4
1030,1,31,1,9
1020,2,31,1,1
901,2,31,1,1
800,2,31,1,1
750,2,31,1,1
700,2,31,1,9
215000,1,32,1,4
4000,3,32,1,3
3000,3,32,1,1
2600,3,32,1,1
2600,3,32,1,1
2600,3,32,1,1
2600,3,32,1,1
2500,3,32,1,1
2400,3,32,1,1
2100,2,32,1,13
2100,3,32,1,1
2000,1,32,1,1
2000,3,32,1,1
1900,1,32,1,1
1900,1,32,1,1
1850,1,32,1,13
1850,3,32,1,1
1800,1,32,1,2
1600,1,32,1,6
1600,1,32,1,4
1600,1,32,1,2
1600,1,32,1,2
1600,1,32,1,6
1500,1,32,1,4
1500,1,32,1,2
1500,1,32,1,4
1500,1,32,1,6
1500,2,32,1,4
1500,2,32,1,4
1500,2,32,1,6
1450,1,32,1,2
1400,1,32,1,4
1400,1,32,1,6
1400,2,32,1,6
1350,1,32,1,4
1350,2,32,1,2
1300,0,32,1,3
1300,2,32,1,3
1300,2,32,1,1
1250,1,32,1,4
1250,1,32,1,4
1200,1,32,1,4
1200,1,32,1,4
1200,1,32,1,4
1200,2,32,1,1
1200,2,32,1,2
1150,1,32,1,5
1150,1,32,1,5
1150,2,32,1,1
1100,1,32,1,4
1100,1,32,1,4
1100,1,32,1,1
1100,2,32,1,1
1099,2,32,1,6
1050,1,32,1,4
1050,1,32,1,4
1050,1,32,1,5
1000,1,32,1,1
1000,1,32,1,1
1000,2,32,1,1
1000,2,32,1,2
1000,2,32,1,2
980,1,32,1,4
950,1,32,1,6
950,2,32,1,2
950,2,32,1,1
950,2,32,1,1
900,2,32,1,16
900,2,32,1,1
850,1,32,1,2
850,2,32,1,1
800,1,32,1,1
800,2,32,1,1
750,1,32,1,1
700,1,32,1,20
700,1,32,1,1
700,2,32,1,1
600,2,32,1,5
4500,3,33,1,3
4200,1,33,1,1
3041,1,33,1,1
2400,3,33,1,1
2300,3,33,1,1
2200,1,33,1,13
2000,3,33,1,1
2000,3,33,1,1
1950,2,33,1,13
1800,1,33,1,3
1750,1,33,1,4
1700,1,33,1,4
1700,1,33,1,13
1680,1,33,1,1
1590,1,33,1,13
1500,1,33,1,4
1500,1,33,1,13
1500,3,33,1,4
1490,1,33,1,4
1450,1,33,1,3
1435,2,33,1,26
1400,1,33,1,3
1400,1,33,1,4
1400,1,33,1,4
1350,1,33,1,3
1320,1,33,1,1
1300,1,33,1,13
1300,1,33,1,4
1300,1,33,1,1
1250,1,33,1,4
1250,2,33,1,1
1200,1,33,1,4
1200,1,33,1,4
1200,1,33,1,1
1200,1,33,1,5
1200,1,33,1,4
1150,1,33,1,3
1100,1,33,1,3
1100,1,33,1,4
1100,1,33,1,4
1050,1,33,1,6
1000,2,33,1,6
950,1,33,1,2
950,2,33,1,1
900,1,33,1,2
900,1,33,1,4
900,2,33,1,4
860,2,33,1,4
850,1,33,1,2
820,1,33,1,10
800,1,33,1,4
800,1,33,1,5
800,2,33,1,2
800,2,33,1,6
800,2,33,1,14
800,2,33,1,6
780,2,33,1,4
750,1,33,1,1
750,2,33,1,1
750,2,33,1,1
700,2,33,1,1
700,2,33,1,1
700,2,33,1,1
650,1,33,1,20
500,2,33,1,25
3400,3,34,1,3
2500,1,34,1,1
1870,1,34,1,13
1800,2,34,1,13
1700,1,34,1,4
1650,2,34,1,1
1550,1,34,1,6
1500,1,34,1,4
1500,1,34,1,4
1500,1,34,1,4
1500,2,34,1,4
1400,1,34,1,4
1390,1,34,1,1
1250,1,34,1,4
1250,1,34,1,3
1250,2,34,1,4
1200,1,34,1,4
1150,2,34,1,1
1100,1,34,1,4
1100,2,34,1,6
1100,2,34,1,2
1100,2,34,1,1
1070,1,34,1,4
1000,2,34,1,1
990,1,34,1,4
980,1,34,1,6
950,1,34,1,2
900,2,34,1,2
800,1,34,1,6
800,2,34,1,1
750,1,34,1,15
610,4,34,1,10
580,2,34,1,20
550,2,34,1,4
2850,1,35,1,3
2680,3,35,1,1
2500,3,35,1,1
2200,1,35,1,13
2000,1,35,1,17
1800,1,35,1,3
1800,1,35,1,1
1800,1,35,1,3
1800,3,35,1,1
1600,1,35,1,1
1500,1,35,1,4
1500,1,35,1,4
1500,1,35,1,4
1500,1,35,1,13
